TreeID,PlotID,site,tree,spp,canopy.class,live.dead,dbh,stems,total.cores,ba.cm,ba.meter.ha,density,notes,Distance,Azimuth
DHA034,DHA,Duke Hardwood,34,ULAL,C,LIVE,24.5,1,2,471.4,0.37515625,7.957747155,,15.02,239
DHA035,DHA,Duke Hardwood,35,CAOV,D,LIVE,38.6,1,2,1170.2,0.931225,7.957747155,,14.05,215
DHA036,DHA,Duke Hardwood,36,ULAL,C,LIVE,20.1,1,2,317.3,0.25250625,7.957747155,,16.7,211
DHA037,DHA,Duke Hardwood,37,ACRU,S,LIVE,23.5,1,2,433.7,0.34515625,7.957747155,"VAR. TRILOBA, would be C if upright",19.21,198
DHA038,DHA,Duke Hardwood,38,NYSY,I,LIVE,24.9,1,2,487,0.38750625,7.957747155,,19.61,177
DHA039,DHA,Duke Hardwood,39,ULAL,C,LIVE,26.9,1,2,568.3,0.45225625,7.957747155,,13.82,179
DHA099,DHA,Duke Hardwood,99,LIST,C,LIVE,32.4,1,2,824.5,0.6561,7.957747155,,16.49,138
DHB001,DHB,Duke Hardwood,1,QUVE,D,LIVE,61.5,1,2,2970.6,2.36390625,7.957747155,,5.29,265
DHB002,DHB,Duke Hardwood,2,LITU,I,LIVE,19.9,1,2,311,0.585813609,18.83490451,,8.74,245
DHB003,DHB,Duke Hardwood,3,LITU,S,LIVE,12.2,1,2,116.9,0.220177515,18.83490451,,6.1,250
DHB004,DHB,Duke Hardwood,4,NYSY,S,LIVE,11.9,1,2,111.2,0.209482249,18.83490451,,3.97,229
DHB005,DHB,Duke Hardwood,5,LITU,D,LIVE,48.8,1,2,1870.4,1.4884,7.957747155,,7.53,230
DHB006,DHB,Duke Hardwood,6,LITU,C,LIVE,39.6,1,2,1231.6,0.9801,7.957747155,,11.78,198
DHB007,DHB,Duke Hardwood,7,LITU,I,LIVE,30.8,1,2,745.1,0.5929,7.957747155,,11.78,180
DHB008,DHB,Duke Hardwood,8,LITU,C,LIVE,43.9,1,2,1513.6,1.20450625,7.957747155,,8.13,178
DHB009,DHB,Duke Hardwood,9,CATO,D,LIVE,52.6,1,2,2173,1.729225,7.957747155,CENTER WOUND,3.26,160
DHB010,DHB,Duke Hardwood,10,LITU,I,LIVE,30.8,1,2,745.1,0.5929,7.957747155,,12,150
DHB011,DHB,Duke Hardwood,11,LITU,S,LIVE,16.3,1,2,208.7,0.393032544,18.83490451,,12.55,138
DHB012,DHB,Duke Hardwood,12,LITU,C,LIVE,41.7,1,2,1365.7,1.08680625,7.957747155,,11.65,110
DHB013,DHB,Duke Hardwood,13,ULAL,S,LIVE,20.5,1,2,330.1,0.26265625,7.957747155,,1.48,57
DHB014,DHB,Duke Hardwood,14,NYSY,S,LIVE,11.8,1,2,109.4,0.205976331,18.83490451,,3.02,44
DHB015,DHB,Duke Hardwood,15,CATO,D,LIVE,43.3,1,1,1472.5,1.17180625,7.957747155,,7.65,16
DHB016,DHB,Duke Hardwood,16,CAGL,C,LIVE,62.9,1,2,3107.4,2.47275625,7.957747155,,7.1,321
DHB017,DHB,Duke Hardwood,17,CAGL,C,LIVE,40.5,1,1,1288.2,1.02515625,7.957747155,,8.56,321
DHB018,DHB,Duke Hardwood,18,CATO,C,LIVE,73.3,1,2,4219.9,3.35805625,7.957747155,,11.69,313
DHB019,DHB,Duke Hardwood,19,QUAL,I,LIVE,20,1,2,314.2,0.25,7.957747155,,11.75,306
DHB020,DHB,Duke Hardwood,20,LITU,C,LIVE,32.4,1,2,824.5,0.6561,7.957747155,,18.99,264
DHB021,DHB,Duke Hardwood,21,LITU,C,LIVE,47.9,1,2,1802,1.43400625,7.957747155,,17.97,235
DHB022,DHB,Duke Hardwood,22,CAOV,I,LIVE,31,1,2,754.8,0.600625,7.957747155,,15.18,239
DHB023,DHB,Duke Hardwood,23,LITU,C,LIVE,36.2,1,2,1029.2,0.819025,7.957747155,,16.18,200
DHB024,DHB,Duke Hardwood,24,LITU,C,LIVE,33.6,1,2,886.7,0.7056,7.957747155,,16.59,184
DHB025,DHB,Duke Hardwood,25,NYSY,I,LIVE,29.6,1,2,688.1,0.5476,7.957747155,,17.21,170
DHB026,DHB,Duke Hardwood,26,LITU,C,LIVE,38.3,1,2,1152.1,0.91680625,7.957747155,,16.83,134
DHB027,DHB,Duke Hardwood,27,LITU,C,LIVE,46.8,1,2,1720.2,1.3689,7.957747155,,14.38,131
DHB028,DHB,Duke Hardwood,28,LITU,C,LIVE,46.2,1,2,1676.4,1.334025,7.957747155,,18.84,108
DHB029,DHB,Duke Hardwood,29,LITU,C,LIVE,28.5,1,2,637.9,0.50765625,7.957747155,,17.17,108
DHB030,DHB,Duke Hardwood,30,LITU,C,LIVE,35.4,1,1,984.2,0.783225,7.957747155,"split stem, funky, took pics",18.65,54
DHB031,DHB,Duke Hardwood,31,CAGL,D,LIVE,63.8,1,2,3196.9,2.544025,7.957747155,has a tree fall scar,15.82,63
DHB032,DHB,Duke Hardwood,32,CAGL,C,LIVE,42.6,1,2,1425.3,1.134225,7.957747155,,14.67,33
DHB033,DHB,Duke Hardwood,33,LITU,I,LIVE,23.4,1,2,430.1,0.342225,7.957747155,,18.68,14
DHB034,DHB,Duke Hardwood,34,LIST,I,LIVE,24.3,1,2,463.8,0.36905625,7.957747155,,14.1,331
DHB035,DHB,Duke Hardwood,35,QUVE,I,LIVE,26,1,2,530.9,0.4225,7.957747155,check core for spp,19.2,314
DHC001,DHC,Duke Hardwood,1,ULAL,C,LIVE,32.8,1,2,845,0.6724,7.957747155,,6.19,89
DHC002,DHC,Duke Hardwood,2,QUBI,I,LIVE,16.7,1,2,219,0.412559172,18.83490451,,9.07,100
DHC003,DHC,Duke Hardwood,3,LIST,C,LIVE,42,1,2,1385.4,1.1025,7.957747155,,10.27,80
DHC004,DHC,Duke Hardwood,4,CAOV,C,LIVE,41.4,1,2,1346.1,1.071225,7.957747155,,10.52,48
DHC005,DHC,Duke Hardwood,5,ACRU,C,LIVE,21.9,1,2,376.7,0.29975625,7.957747155,VAR. TRILOBA,10.3,15
DHC006,DHC,Duke Hardwood,6,RED OAK,*,DEAD,47,1,0,1734.9,1.380625,7.957747155,"ROTTEN, NO CORE",6.77,11
DHC007,DHC,Duke Hardwood,7,QUBI,I,LIVE,29.3,1,2,674.3,0.53655625,7.957747155,,12.52,356
DHC008,DHC,Duke Hardwood,8,QUBI,I,LIVE,16.2,1,2,206.1,0.388224852,18.83490451,,12.5,348
DHC009,DHC,Duke Hardwood,9,NYSY,I,LIVE,24.4,1,2,467.6,0.3721,7.957747155,,1.63,337
DHC010,DHC,Duke Hardwood,10,LIST,*,DEAD,19.4,1,0,295.6,0.556745562,18.83490451,"ROTTEN, NO CORE",9.49,271
DHC011,DHC,Duke Hardwood,11,QUBI,C,LIVE,80.4,1,2,5076.9,4.0401,7.957747155,,5.18,210
DHC012,DHC,Duke Hardwood,12,ULMUS,*,DEAD,22.8,1,2,408.3,0.3249,7.957747155,,12.53,203
DHC013,DHC,Duke Hardwood,13,CAOV,S,LIVE,15.6,1,2,191.1,0.36,18.83490451,,127.74,196
DHC014,DHC,Duke Hardwood,14,ULAL,I,LIVE,26,1,2,530.9,0.4225,7.957747155,,8.03,156
DHC015,DHC,Duke Hardwood,15,CAOV,C,LIVE,37.7,1,2,1116.3,0.88830625,7.957747155,,9.34,134
DHC016,DHC,Duke Hardwood,16,CAOV,C,LIVE,60.3,1,2,2855.8,2.27255625,7.957747155,,9.52,124
DHC017,DHC,Duke Hardwood,17,LIST,I,LIVE,25.3,1,2,502.7,0.40005625,7.957747155,,14.05,111
DHC018,DHC,Duke Hardwood,18,ULAL,C,LIVE,24.8,1,2,483.1,0.3844,7.957747155,,13.98,101
DHC019,DHC,Duke Hardwood,19,LITU,C,LIVE,28.9,1,2,656,0.52200625,7.957747155,,18.25,90
DHC020,DHC,Duke Hardwood,20,QUPH,C,LIVE,19.6,1,2,301.7,0.568284024,18.83490451,,17.67,56
DHC021,DHC,Duke Hardwood,21,LIST,I,LIVE,25.3,1,2,502.7,0.40005625,7.957747155,,17.46,46
DHC022,DHC,Duke Hardwood,22,ULAL,C,LIVE,31.3,1,2,769.4,0.61230625,7.957747155,,17.05,6
DHC023,DHC,Duke Hardwood,23,QUBI,C,LIVE,74.5,1,2,4359.2,3.46890625,7.957747155,,14.75,320
DHC024,DHC,Duke Hardwood,24,QUBI,C,LIVE,54.6,1,2,2341.4,1.863225,7.957747155,,13.14,297
DHC025,DHC,Duke Hardwood,25,QUBI,C,LIVE,57.7,1,2,2614.8,2.08080625,7.957747155,,14.12,274
DHC026,DHC,Duke Hardwood,26,QUPH,C,LIVE,42,1,2,1385.4,1.1025,7.957747155,,18.44,225
DHC027,DHC,Duke Hardwood,27,NYSY,I,LIVE,29.3,1,2,674.3,0.53655625,7.957747155,,18.69,217
DHC028,DHC,Duke Hardwood,28,QUBI,I,LIVE,38.6,1,2,1170.2,0.931225,7.957747155,,17.36,213
DHC029,DHC,Duke Hardwood,29,NYSY,I,LIVE,31,1,2,754.8,0.600625,7.957747155,,15.11,220
DHC030,DHC,Duke Hardwood,30,ULMUS,*,DEAD,33.7,1,0,892,0.70980625,7.957747155,"ROTTEN, NO CORE",19.06,313
DHC031,DHC,Duke Hardwood,31,QUBI,I,LIVE,14.5,1,2,165.1,0.31102071,18.83490451,,4.28,138
DLA001,DLA,Duke Loblolly,1,PITA,C,LIVE,32.9,1,2,850.1,0.67650625,7.957747155,,2.15,51
DLA002,DLA,Duke Loblolly,2,PITA,C,LIVE,17.8,1,2,248.8,0.468698225,18.83490451,,6.13,39
DLA003,DLA,Duke Loblolly,3,PITA,C,LIVE,25,1,2,490.9,0.390625,7.957747155,,7.79,31
DLA004,DLA,Duke Loblolly,4,PITA,C,LIVE,16.2,1,2,206.1,0.388224852,18.83490451,,11.11,28
DLA005,DLA,Duke Loblolly,5,PITA,C,LIVE,34.7,1,2,945.7,0.75255625,7.957747155,,11.35,12
DLA006,DLA,Duke Loblolly,6,PITA,C,LIVE,28,1,2,615.8,0.49,7.957747155,,10.51,6
DLA007,DLA,Duke Loblolly,7,PITA,C,LIVE,36,1,2,1017.9,0.81,7.957747155,,5.97,15
DLA008,DLA,Duke Loblolly,8,PITA,C,LIVE,32.4,1,2,824.5,0.6561,7.957747155,,4.97,346
DLA009,DLA,Duke Loblolly,9,LITU,I,LIVE,13.4,1,2,141,0.265621302,18.83490451,,10.83,350
DLA010,DLA,Duke Loblolly,10,BEAL,S,LIVE,10.6,1,2,88.2,0.166213018,18.83490451,,11.23,326
DLA011,DLA,Duke Loblolly,11,LIST,I,LIVE,15,1,2,176.7,0.332840237,18.83490451,,11.84,321
DLA012,DLA,Duke Loblolly,12,LIST,I,LIVE,16.7,1,2,219,0.412559172,18.83490451,,12.11,321
DLA013,DLA,Duke Loblolly,13,PRSE,I,LIVE,12.5,1,2,122.7,0.231139053,18.83490451,CHECK SPP,8.22,320
