CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
DHA008A,DHA008,DHA,Duke Hardwood,8,OAK,*,DEAD,22.1,1,2,A,,,,,,,,,,,
DHA008B,DHA008,DHA,Duke Hardwood,8,OAK,*,DEAD,22.1,1,2,B,,,,,,,,,,,
DHA009A,DHA009,DHA,Duke Hardwood,9,OAK,*,DEAD,20.8,1,2,A,,,,,,,,,,,
DHA009B,DHA009,DHA,Duke Hardwood,9,OAK,*,DEAD,20.8,1,2,B,,,,,,,,,,,
DHA010A,DHA010,DHA,Duke Hardwood,10,LIST,D,LIVE,66.1,1,2,A,,,,,,,,,,,
DHA010B,DHA010,DHA,Duke Hardwood,10,LIST,D,LIVE,66.1,1,2,B,,,,,,,,,,,
DHA011A,DHA011,DHA,Duke Hardwood,11,OAK,*,DEAD,26.4,1,2,A,,,,,,,,,,,
DHA011B,DHA011,DHA,Duke Hardwood,11,OAK,*,DEAD,26.4,1,2,B,,,,,,,,,,,
DHA012A,DHA012,DHA,Duke Hardwood,12,QUBI,C,LIVE,42,1,2,A,,,,,,,,,,,
DHA012B,DHA012,DHA,Duke Hardwood,12,QUBI,C,LIVE,42,1,2,B,,,,,,,,,,,
DHA013A,DHA013,DHA,Duke Hardwood,13,LIST,I,LIVE,25.1,1,2,A,,,,,,,,,,,
DHA013B,DHA013,DHA,Duke Hardwood,13,LIST,I,LIVE,25.1,1,2,B,,,,,,,,,,,
DHA014A,DHA014,DHA,Duke Hardwood,14,ACRU,S,LIVE,15.9,1,2,A,,,,,,,,,,,
DHA014B,DHA014,DHA,Duke Hardwood,14,ACRU,S,LIVE,15.9,1,2,B,,,,,,,,,,,
DHA015A,DHA015,DHA,Duke Hardwood,15,QUBI,I,LIVE,24.5,1,2,A,,,,,,,,,,,
DHA015B,DHA015,DHA,Duke Hardwood,15,QUBI,I,LIVE,24.5,1,2,B,,,,,,,,,,,
DHA017A,DHA017,DHA,Duke Hardwood,17,QUBI,I,LIVE,24.5,1,2,A,,,,,,,,,,,
DHA017B,DHA017,DHA,Duke Hardwood,17,QUBI,I,LIVE,24.5,1,2,B,,,,,,,,,,,
DHA018A,DHA018,DHA,Duke Hardwood,18,ULAL,D,LIVE,30.8,1,2,A,,,,,,,,,,,
DHA018B,DHA018,DHA,Duke Hardwood,18,ULAL,D,LIVE,30.8,1,2,B,,,,,,,,,,,
DHA019A,DHA019,DHA,Duke Hardwood,19,QUBI,I,LIVE,23,1,2,A,,,,,,,,,,,
DHA019B,DHA019,DHA,Duke Hardwood,19,QUBI,I,LIVE,23,1,2,B,,,,,,,,,,,
DHA020A,DHA020,DHA,Duke Hardwood,20,ULAL,I,LIVE,24.2,1,2,A,,,,,,,,,,,
DHA020B,DHA020,DHA,Duke Hardwood,20,ULAL,I,LIVE,24.2,1,2,B,,,,,,,,,,,
DHA021A,DHA021,DHA,Duke Hardwood,21,QUBI,I,LIVE,29.7,1,2,A,,,,,,,,,,,
